,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
2460,Ryan Sessegnon,eng ENG,DFMF,Tottenham,eng Premier League,21,2000,11.6,0,6,1,16.7,0.52,0.09,0.00,0.00,13.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,6aa3e78b
2461,Nils Seufert,de GER,MF,Greuther Fürth,de Bundesliga,24,1997,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0da32a38
2462,Salva Sevilla,es ESP,MF,Mallorca,es La Liga,37,1984,16.7,5,22,4,18.2,1.31,0.24,0.05,0.25,27.4,7,4,4,4.8,1.7,0.08,+0.2,-0.7,Matches,75bd85ea
2463,Stephan El Shaarawy,it ITA,FWDF,Roma,it Serie A,28,1992,11.7,3,39,12,30.8,3.33,1.02,0.08,0.25,19.3,1,0,0,2.7,2.7,0.07,+0.3,+0.3,Matches,d3aaad90
2464,Jamie Shackleton,eng ENG,DFMF,Leeds United,eng Premier League,21,1999,7.9,0,4,1,25.0,0.51,0.13,0.00,0.00,18.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,8d03ca5a
2465,Xherdan Shaqiri,ch SUI,FWMF,Lyon,fr Ligue 1,29,1991,7.5,2,13,5,38.5,1.72,0.66,0.15,0.40,20.3,3,0,0,0.6,0.6,0.05,+1.4,+1.4,Matches,6421ec64
2466,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,26,1995,17.8,0,6,1,16.7,0.34,0.06,0.00,0.00,24.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,9c94165b
2467,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,29,1992,22.0,2,30,14,46.7,1.36,0.64,0.07,0.14,27.8,6,0,0,0.9,0.9,0.03,+1.1,+1.1,Matches,3727dd3c
2468,Aimar Sher,se SWE,MF,Spezia,it Serie A,18,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ef301f96
2469,Eldor Shomurodov,uz UZB,FWMF,Roma,it Serie A,26,1995,8.7,3,31,11,35.5,3.56,1.26,0.10,0.27,12.3,0,0,0,4.3,4.3,0.14,-1.3,-1.3,Matches,57469b2d
2470,Shola Shoretire,eng ENG,MF,Manchester Utd,eng Premier League,17,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,00f0482f
2471,Mahame Siby,ml MLI,DF,Strasbourg,fr Ligue 1,25,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6d075c67
2472,Aboubakar Sidibé,fr FRA,DF,Clermont Foot,fr Ligue 1,25,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ae5b93a0
2473,Alassane Sidibe,ci CIV,MF,Atalanta,it Serie A,19,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f944979d
2474,Djibril Sidibé,fr FRA,DF,Monaco,fr Ligue 1,29,1992,10.5,0,4,1,25.0,0.38,0.09,0.00,0.00,23.9,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,4c5b714f
2475,Kaj Sierhuis,nl NED,FW,Reims,fr Ligue 1,23,1998,0.9,0,2,0,0.0,2.25,0.00,0.00,,20.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,9c2b1f11
2476,Francisco Sierralta,cl CHI,DF,Watford,eng Premier League,24,1997,4.7,0,1,1,100.0,0.21,0.21,0.00,0.00,10.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,0f933743
2477,Arnór Sigurðsson,is ISL,FWMF,Venezia,it Serie A,22,1999,2.0,0,1,0,0.0,0.49,0.00,0.00,,11.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,f209b81e
2478,Kiliann Sildillia,fr FRA,DFMF,Freiburg,de Bundesliga,19,2002,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,313254a3
2479,Adrien Silva,pt POR,MF,Sampdoria,it Serie A,32,1989,12.0,0,8,2,25.0,0.66,0.17,0.00,0.00,25.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,d6f88a1d
2480,André Silva,pt POR,FW,RB Leipzig,de Bundesliga,25,1995,23.1,11,55,23,41.8,2.38,1.00,0.15,0.35,11.8,0,3,3,12.6,10.7,0.20,-1.6,-2.7,Matches,3effaa34
2481,Bernardo Silva,pt POR,MFFW,Manchester City,eng Premier League,26,1994,31.7,8,47,19,40.4,1.48,0.60,0.17,0.42,12.6,0,0,0,6.7,6.7,0.14,+1.3,+1.3,Matches,3eb22ec9
2482,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,24,1997,29.6,2,19,6,31.6,0.64,0.20,0.11,0.33,21.8,4,0,0,1.0,1.0,0.05,+1.0,+1.0,Matches,30af8b93
2483,David Silva,es ESP,MF,Real Sociedad,es La Liga,35,1986,19.1,2,21,6,28.6,1.10,0.31,0.10,0.33,16.4,0,0,0,3.1,3.1,0.15,-1.1,-1.1,Matches,e2716bd0
2484,Fábio Silva,pt POR,FW,Wolves,eng Premier League,19,2002,6.4,0,19,5,26.3,2.99,0.79,0.00,0.00,13.7,0,0,0,1.8,1.8,0.09,-1.8,-1.8,Matches,e7aa9d7c
2485,Gabriel Silva,br BRA,DFMF,Saint-Étienne,fr Ligue 1,30,1991,7.9,0,1,0,0.0,0.13,0.00,0.00,,16.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,4914ed4a
2486,Jonathan Silva,ar ARG,DFFW,Getafe,es La Liga,27,1994,2.5,0,1,1,100.0,0.40,0.40,0.00,0.00,23.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,f2308b33
2487,Rui Silva,pt POR,GK,Betis,es La Liga,27,1994,21.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ea83bfa6
2488,Thiago Silva,br BRA,DF,Chelsea,eng Premier League,36,1984,29.4,3,18,5,27.8,0.61,0.17,0.17,0.60,12.2,0,0,0,0.9,0.9,0.05,+2.1,+2.1,Matches,86e7deaf
2489,Marco Silvestri,it ITA,GK,Udinese,it Serie A,30,1991,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0d422df7
2490,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,21,2000,22.3,1,12,3,25.0,0.54,0.13,0.08,0.33,12.7,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches,fcb27134
2491,Giovanni Simeone,ar ARG,FW,Hellas Verona,it Serie A,26,1995,29.5,17,69,32,46.4,2.34,1.09,0.25,0.53,14.7,0,0,1,10.3,9.5,0.14,+6.7,+7.5,Matches,343c0d52
2492,Giovanni Simeone,ar ARG,FW,Cagliari,it Serie A,26,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,343c0d52
2493,Giuliano Simeone,ar ARG,MF,Atlético Madrid,es La Liga,18,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a6536561
2494,Ellis Simms,eng ENG,FW,Everton,eng Premier League,20,2001,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,26d3b5be
2495,Moses Simon,ng NGA,FWMF,Nantes,fr Ligue 1,26,1995,25.9,6,42,16,38.1,1.62,0.62,0.14,0.38,15.9,2,0,0,4.6,4.6,0.11,+1.4,+1.4,Matches,5f3eaaf5
2496,Unai Simón,es ESP,GK,Athletic Club,es La Liga,24,1997,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5dcf3e90
2497,Xavi Simons,nl NED,MFFW,Paris S-G,fr Ligue 1,18,2003,1.5,0,2,0,0.0,1.36,0.00,0.00,,13.4,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,da4d670f
2498,Wilfried Singo,ci CIV,DF,Torino,it Serie A,20,2000,29.0,3,41,7,17.1,1.42,0.24,0.07,0.43,15.3,0,0,0,2.6,2.6,0.06,+0.4,+0.4,Matches,8b609c34
2499,Daley Sinkgraven,nl NED,DF,Leverkusen,de Bundesliga,26,1995,3.9,0,1,1,100.0,0.26,0.26,0.00,0.00,11.7,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches,73000a79
2500,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,33,1988,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0d8a37c2
2501,Hugo Siquet,be BEL,DF,Freiburg,de Bundesliga,19,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c6cf860f
2502,Salvatore Sirigu,it ITA,GK,Genoa,it Serie A,34,1987,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,10dc46f0
2503,Issouf Sissokho,ml MLI,MF,Bordeaux,fr Ligue 1,19,2002,4.8,0,3,2,66.7,0.62,0.41,0.00,0.00,24.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,792a9d41
2504,Ibrahima Sissoko,fr FRA,MFDF,Strasbourg,fr Ligue 1,23,1997,25.6,2,26,6,23.1,1.02,0.23,0.08,0.33,15.0,0,0,0,2.6,2.6,0.10,-0.6,-0.6,Matches,0f8418aa
2505,Moussa Sissoko,fr FRA,MF,Watford,eng Premier League,31,1989,35.8,2,25,8,32.0,0.70,0.22,0.08,0.25,16.8,0,0,0,3.8,3.7,0.15,-1.8,-1.7,Matches,2acd49b9
2506,Nelson Sissoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,24,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,12bd0579
2507,Sambou Sissoko,fr FRA,MFDF,Reims,fr Ligue 1,22,1999,2.0,0,3,0,0.0,1.53,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,e4bb1f08
2508,Antonio Sivera,es ESP,GK,Alavés,es La Liga,24,1996,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9970da54
2509,Ellyes Skhiri,tn TUN,MF,Köln,de Bundesliga,26,1995,20.2,4,23,8,34.8,1.14,0.40,0.17,0.50,16.2,0,0,0,3.2,3.2,0.14,+0.8,+0.8,Matches,c2211709
2510,Oliver Skipp,eng ENG,MF,Tottenham,eng Premier League,20,2000,15.0,0,4,1,25.0,0.27,0.07,0.00,0.00,24.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,6250083a
2511,Leo Skiri Østigård,no NOR,DF,Genoa,it Serie A,21,1999,13.0,0,7,1,14.3,0.54,0.08,0.00,0.00,18.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,b35a7399
2512,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,30,1991,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ab4449d6
2513,Andreas Skov Olsen,dk DEN,FWDF,Bologna,it Serie A,21,1999,8.3,0,7,2,28.6,0.84,0.24,0.00,0.00,14.3,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches,c50cee19
2514,Robert Skov,dk DEN,FWDF,Hoffenheim,de Bundesliga,25,1996,4.1,0,12,2,16.7,2.93,0.49,0.00,0.00,17.5,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches,ff98492b
2515,Milan Škriniar,sk SVK,DF,Inter,it Serie A,26,1995,35.0,3,25,7,28.0,0.71,0.20,0.12,0.43,11.9,0,0,0,3.2,3.2,0.13,-0.2,-0.2,Matches,30f5ffa9
2516,Islam Slimani,dz ALG,FW,Lyon,fr Ligue 1,33,1988,6.4,1,12,4,33.3,1.88,0.63,0.08,0.25,11.5,0,0,0,1.9,1.9,0.15,-0.9,-0.9,Matches,ffec9769
2517,William Smallbone,ie IRL,MFFW,Southampton,eng Premier League,21,2000,1.5,0,1,0,0.0,0.68,0.00,0.00,,17.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,5e105217
2518,Chris Smalling,eng ENG,DF,Roma,it Serie A,31,1989,23.2,3,10,3,30.0,0.43,0.13,0.30,1.00,8.1,0,0,0,2.4,2.4,0.24,+0.6,+0.6,Matches,b6964eb6
2519,Emile Smith Rowe,eng ENG,MFFW,Arsenal,eng Premier League,21,2000,21.3,10,40,23,57.5,1.87,1.08,0.25,0.43,15.8,0,0,0,6.0,6.0,0.15,+4.0,+4.0,Matches,17695062
2520,Cédric Soares,pt POR,DF,Arsenal,eng Premier League,29,1991,16.5,1,12,1,8.3,0.73,0.06,0.08,1.00,22.1,2,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches,839c14e1
2521,Danilo Soares,br BRA,DF,Bochum,de Bundesliga,29,1991,28.5,0,13,1,7.7,0.46,0.04,0.00,0.00,26.2,2,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,c05f2f8c
2522,Rubén Sobrino,es ESP,MF,Valencia,es La Liga,29,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,19b776e9
2523,Rubén Sobrino,es ESP,FWMF,Cádiz,es La Liga,29,1992,20.7,4,33,10,30.3,1.60,0.48,0.12,0.40,13.0,0,0,0,5.4,5.3,0.17,-1.4,-1.3,Matches,19b776e9
2524,Alex Sola,es ESP,DFFW,Real Sociedad,es La Liga,22,1999,0.5,0,1,0,0.0,2.20,0.00,0.00,,19.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,5fa714d5
2525,Augusto Solari,ar ARG,MFDF,Celta Vigo,es La Liga,29,1992,7.9,0,7,1,14.3,0.88,0.13,0.00,0.00,24.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,3ca6106c
2526,Roberto Soldado,es ESP,FW,Levante,es La Liga,36,1985,7.4,3,17,8,47.1,2.30,1.08,0.18,0.38,12.3,0,0,0,3.7,3.7,0.22,-0.7,-0.7,Matches,9d66fbe3
2527,Carlos Soler,es ESP,MF,Valencia,es La Liga,24,1997,27.5,11,34,14,41.2,1.24,0.51,0.12,0.29,23.7,6,7,7,9.1,3.5,0.10,+1.9,+0.5,Matches,fed17f5a
2528,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,32,1988,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,420c18a1
2529,Son,es ESP,DF,Levante,es La Liga,27,1994,21.9,1,14,7,50.0,0.64,0.32,0.07,0.14,19.4,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches,037dbd30
2530,Brandon Soppy,fr FRA,DFMF,Udinese,it Serie A,19,2002,8.6,0,6,2,33.3,0.69,0.23,0.00,0.00,12.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,28f66c2e
2531,David Soria,es ESP,GK,Getafe,es La Liga,28,1993,37.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8f8c6934
2532,Roberto Soriano,it ITA,MF,Bologna,it Serie A,30,1991,29.1,0,23,8,34.8,0.79,0.27,0.00,0.00,18.9,0,0,0,2.1,2.1,0.09,-2.1,-2.1,Matches,9d4c45d6
2533,Alberto Soro,es ESP,MFFW,Granada,es La Liga,22,1999,6.4,0,7,4,57.1,1.09,0.62,0.00,0.00,13.2,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches,452c3055
2534,Borna Sosa,hr CRO,DFFW,Stuttgart,de Bundesliga,23,1998,27.8,1,25,6,24.0,0.90,0.22,0.04,0.17,22.6,2,0,0,0.9,0.9,0.04,+0.1,+0.1,Matches,af0d79a9
2535,Hugo Sotelo,es ESP,FW,Celta Vigo,es La Liga,17,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3aa74860
2536,Florian Sotoca,fr FRA,FWMF,Lens,fr Ligue 1,30,1990,27.6,6,69,24,34.8,2.50,0.87,0.06,0.17,15.5,0,2,2,8.5,6.9,0.10,-2.5,-2.9,Matches,7a42d0df
2537,Riccardo Sottil,it ITA,FW,Fiorentina,it Serie A,22,1999,13.8,3,22,10,45.5,1.60,0.73,0.14,0.30,16.2,1,0,0,2.5,2.5,0.11,+0.5,+0.5,Matches,94816803
2538,Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,26,1995,34.0,5,45,11,24.4,1.32,0.32,0.11,0.45,12.8,0,0,0,5.5,4.8,0.11,-0.5,+0.2,Matches,6613c819
2539,Matìas Soulé,ar ARG,FW,Juventus,it Serie A,18,2003,0.1,0,2,0,0.0,36.00,0.00,0.00,,29.2,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,c13ddd3e
2540,Sambou Soumano,sn SEN,FWMF,Lorient,fr Ligue 1,20,2001,5.0,3,18,4,22.2,3.62,0.81,0.17,0.75,11.1,0,0,0,3.0,3.0,0.17,0.0,0.0,Matches,7cc00776
2541,Adama Soumaoro,fr FRA,DF,Bologna,it Serie A,29,1992,25.2,0,8,2,25.0,0.32,0.08,0.00,0.00,8.3,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches,7b075c75
2542,Boubakary Soumaré,fr FRA,MF,Leicester City,eng Premier League,22,1999,12.2,0,6,2,33.3,0.49,0.16,0.00,0.00,18.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,ae59b359
2543,Arnaud Souquet,fr FRA,DF,Montpellier,fr Ligue 1,29,1992,25.9,1,18,4,22.2,0.69,0.15,0.06,0.25,24.4,0,0,0,0.5,0.5,0.03,+0.5,+0.5,Matches,4e0afc5d
2544,Djibril Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,24,1997,26.8,2,16,3,18.8,0.60,0.11,0.13,0.67,25.9,0,0,0,0.6,0.6,0.04,+1.4,+1.4,Matches,4c6facae
2545,Saidou Sow,gn GUI,DF,Saint-Étienne,fr Ligue 1,19,2002,11.0,2,3,2,66.7,0.27,0.18,0.67,1.00,7.0,0,0,0,0.3,0.3,0.09,+1.7,+1.7,Matches,f6b94e8d
2546,Çağlar Söyüncü,tr TUR,DF,Leicester City,eng Premier League,25,1996,27.7,1,8,1,12.5,0.29,0.04,0.13,1.00,12.0,0,0,0,1.0,1.0,0.13,0.0,0.0,Matches,21166ff4
2547,Leonardo Spinazzola,it ITA,DF,Roma,it Serie A,28,1993,1.4,0,2,0,0.0,1.42,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,3626daea
2548,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,29,1992,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ac4003af
2549,Tony Springett,eng ENG,MFFW,Norwich City,eng Premier League,18,2002,1.6,0,1,1,100.0,0.64,0.64,0.00,0.00,12.9,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches,35be8087
2550,Jerry St. Juste,nl NED,DF,Mainz 05,de Bundesliga,24,1996,6.7,1,12,3,25.0,1.79,0.45,0.08,0.33,17.7,1,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches,90339309
2551,Anton Stach,de GER,MF,Mainz 05,de Bundesliga,22,1998,20.7,1,49,12,24.5,2.37,0.58,0.02,0.08,25.6,9,0,0,2.1,2.1,0.04,-1.1,-1.1,Matches,0f59a7bf
2552,Kostas Stafylidis,gr GRE,DFMF,Bochum,de Bundesliga,27,1993,15.4,0,16,5,31.3,1.04,0.32,0.00,0.00,29.4,3,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,861e0116
2553,Luca Stanga,it ITA,DF,Milan,it Serie A,19,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2967bcd0
2554,Josip Stanišić,hr CRO,DF,Bayern Munich,de Bundesliga,21,2000,7.2,1,4,3,75.0,0.56,0.42,0.25,0.33,10.4,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Matches,7ed08d5c
2555,Niklas Stark,de GER,DF,Hertha BSC,de Bundesliga,26,1995,22.6,1,11,4,36.4,0.49,0.18,0.09,0.25,15.2,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches,aad48be9
2556,Jason Steele,eng ENG,GK,Brighton,eng Premier League,30,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,28300a16
2557,Jed Steer,eng ENG,GK,Aston Villa,eng Premier League,28,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a8a3d139
2558,Renato Steffen,ch SUI,FWMF,Wolfsburg,de Bundesliga,29,1991,10.7,0,13,2,15.4,1.21,0.19,0.00,0.00,15.3,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches,dd669209
2559,Zack Steffen,us USA,GK,Manchester City,eng Premier League,26,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,42130443
2560,Calvin Stengs,nl NED,MF,Nice,fr Ligue 1,22,1998,11.9,1,21,5,23.8,1.76,0.42,0.05,0.20,17.9,0,0,0,2.7,2.7,0.13,-1.7,-1.7,Matches,8f7e6783
2561,Pascal Stenzel,de GER,DF,Stuttgart,de Bundesliga,25,1996,10.0,0,7,3,42.9,0.70,0.30,0.00,0.00,26.1,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,99f7e9aa
2562,Dale Stephens,eng ENG,MF,Burnley,eng Premier League,32,1989,1.4,0,1,0,0.0,0.73,0.00,0.00,,22.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,653ee42d
2563,Jack Stephens,eng ENG,DF,Southampton,eng Premier League,27,1994,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6adbc307
2564,Raheem Sterling,eng ENG,FW,Manchester City,eng Premier League,26,1994,23.6,13,54,25,46.3,2.28,1.06,0.20,0.44,14.0,0,2,3,14.0,11.5,0.21,-1.0,-0.5,Matches,b400bde0
2565,Finley Stevens,wls WAL,DF,Brentford,eng Premier League,18,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7e003182
2566,Angelo Stiller,de GER,MF,Hoffenheim,de Bundesliga,20,2001,18.8,2,15,4,26.7,0.80,0.21,0.13,0.50,17.6,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches,3b1ed320
2567,Lars Stindl,de GER,MFFW,M'Gladbach,de Bundesliga,32,1988,18.1,4,41,14,34.1,2.27,0.77,0.10,0.29,18.6,2,0,2,6.3,4.7,0.11,-2.3,-0.7,Matches,7cd6badb
2568,Riccardo Stivanello,it ITA,DF,Bologna,it Serie A,17,2004,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,90e1d9dc
2569,Kevin Stöger,at AUT,MF,Mainz 05,de Bundesliga,27,1993,4.7,1,16,6,37.5,3.44,1.29,0.06,0.17,21.4,3,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches,e5649a78
2570,Petar Stojanović,si SVN,DF,Empoli,it Serie A,25,1995,30.4,1,11,4,36.4,0.36,0.13,0.09,0.25,21.4,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches,13b44b02
2571,John Stones,eng ENG,DF,Manchester City,eng Premier League,27,1994,12.4,1,9,5,55.6,0.72,0.40,0.11,0.20,13.2,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches,5eecec3d
2572,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,26,1995,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,339fe0e8
2573,Stefan Strandberg,no NOR,DF,Salernitana,it Serie A,31,1990,10.4,0,9,2,22.2,0.87,0.19,0.00,0.00,14.6,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,6d5e62b0
2574,Dávid Strelec,sk SVK,FWMF,Spezia,it Serie A,20,2001,5.6,1,4,3,75.0,0.72,0.54,0.25,0.33,14.0,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Matches,2cb9486d
2575,Tobias Strobl,de GER,MFDF,Augsburg,de Bundesliga,31,1990,3.6,0,2,1,50.0,0.56,0.28,0.00,0.00,18.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,17780d2b
2576,Kevin Strootman,nl NED,MF,Cagliari,it Serie A,31,1990,7.1,0,1,0,0.0,0.14,0.00,0.00,,14.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,ef2e5e1a
2577,Pascal Struijk,nl NED,DFMF,Leeds United,eng Premier League,21,1999,22.8,1,11,3,27.3,0.48,0.13,0.09,0.33,9.1,0,0,0,1.4,1.4,0.14,-0.4,-0.4,Matches,f4d296e4
2578,Jens Stryger Larsen,dk DEN,DF,Udinese,it Serie A,30,1991,7.6,0,9,4,44.4,1.18,0.53,0.00,0.00,18.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,f91e81c9
2579,Leo Štulac,si SVN,MF,Empoli,it Serie A,26,1994,9.3,2,9,3,33.3,0.97,0.32,0.22,0.67,27.1,2,0,0,0.2,0.2,0.03,+1.8,+1.8,Matches,92948398
2580,Stefano Sturaro,it ITA,MF,Genoa,it Serie A,28,1993,19.6,0,9,0,0.0,0.46,0.00,0.00,,19.9,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,2334478a
2581,Damián Suárez,uy URU,DF,Getafe,es La Liga,33,1988,30.1,0,14,4,28.6,0.46,0.13,0.00,0.00,29.7,2,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,ba5004e1
2582,Denis Suárez,es ESP,MF,Celta Vigo,es La Liga,27,1994,31.3,4,22,8,36.4,0.70,0.26,0.18,0.50,23.4,1,0,0,2.2,2.2,0.10,+1.8,+1.8,Matches,12c50af5
2583,Luis Suárez,uy URU,FW,Atlético Madrid,es La Liga,34,1987,20.4,11,51,23,45.1,2.50,1.13,0.18,0.39,19.6,2,2,3,10.0,7.7,0.15,+1.0,+1.3,Matches,a6154613
2584,Mario Suárez,es ESP,DF,Rayo Vallecano,es La Liga,34,1987,7.9,0,9,3,33.3,1.14,0.38,0.00,0.00,13.1,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches,7106f0a0
2585,Isaac Success,ng NGA,FWMF,Udinese,it Serie A,25,1996,10.1,2,25,12,48.0,2.47,1.19,0.08,0.17,17.3,0,0,0,2.1,2.1,0.08,-0.1,-0.1,Matches,f573a8bf
2586,Niklas Süle,de GER,DF,Bayern Munich,de Bundesliga,25,1995,20.4,1,16,6,37.5,0.78,0.29,0.06,0.17,18.0,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,e33c06cf
2587,Kamaldeen Sulemana,gh GHA,MFFW,Rennes,fr Ligue 1,19,2002,11.3,4,26,8,30.8,2.31,0.71,0.15,0.50,20.5,0,0,0,2.3,2.3,0.09,+1.7,+1.7,Matches,a62f8bf1
