,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
792,Enzo Ebosse,cm CMR,DF,Angers,fr Ligue 1,22,1999,21.0,1,0,0,14,21,0,16,15,14,0,1,0,112,22,22,50.0,Matches,9ba7b4fa
793,Tyronne Ebuehi,ng NGA,DF,Venezia,it Serie A,25,1995,12.6,1,1,0,22,4,1,28,16,12,0,0,0,61,15,18,45.5,Matches,6af30900
794,Ederson,br BRA,GK,Manchester City,eng Premier League,27,1993,37.0,3,0,0,1,4,0,0,0,1,0,1,0,43,10,3,76.9,Matches,3bb7b8b4
795,Éderson,br BRA,MF,Salernitana,it Serie A,22,1999,12.7,5,0,0,18,34,1,5,19,18,0,0,0,62,11,17,39.3,Matches,a9202def
796,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,23,1998,17.4,4,0,0,25,6,4,7,0,10,0,0,0,62,38,45,45.8,Matches,0562b7f1
797,CJ Egan-Riley,eng ENG,DF,Manchester City,eng Premier League,18,2003,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches,d313e8ff
798,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,24,1996,24.4,2,0,0,32,26,1,11,30,28,0,0,0,145,46,51,47.4,Matches,beb882a8
799,Lilian Egloff,de GER,MFDF,Stuttgart,de Bundesliga,18,2002,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,33.3,Matches,2f7fec15
800,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,26,1995,7.6,2,0,0,15,16,0,17,9,18,0,0,0,45,13,5,72.2,Matches,76b2817e
801,Julian Eitschberger,de GER,DF,Hertha BSC,de Bundesliga,17,2004,0.5,0,0,0,0,2,0,0,2,0,0,0,0,4,0,1,0.0,Matches,943b9602
802,Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,32,1989,18.2,11,1,1,31,39,0,2,29,28,0,0,0,144,24,17,58.5,Matches,f503ea63
803,Hugo Ekitike,fr FRA,FW,Reims,fr Ligue 1,19,2002,14.1,1,1,0,18,31,12,4,6,10,2,1,0,66,26,33,44.1,Matches,5b92d896
804,Jurgen Ekkelenkamp,nl NED,MFFW,Hertha BSC,de Bundesliga,21,2000,8.0,1,0,0,11,5,0,3,4,3,0,0,0,48,9,17,34.6,Matches,73d6a176
805,Caleb Ekuban,gh GHA,FWMF,Genoa,it Serie A,27,1994,19.1,2,0,0,22,32,2,13,9,12,0,0,0,78,36,51,41.4,Matches,7afbd2c3
806,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,19,2002,13.5,0,0,0,8,22,3,21,9,20,0,0,0,50,24,18,57.1,Matches,2fba6108
807,Alberth Elis,hn HON,FWMF,Bordeaux,fr Ligue 1,25,1996,15.7,2,0,0,22,23,9,28,7,10,1,0,0,46,26,41,38.8,Matches,104b4ad3
808,Harvey Elliott,eng ENG,MF,Liverpool,eng Premier League,18,2003,3.8,0,0,0,2,6,0,10,4,0,0,0,0,31,2,2,50.0,Matches,c8387671
809,Elif Elmas,mk MKD,FWMF,Napoli,it Serie A,21,1999,18.0,3,0,0,27,30,2,10,8,15,1,0,0,64,7,22,24.1,Matches,cf007308
810,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,29,1992,9.0,1,0,0,5,5,0,0,14,8,0,0,0,51,6,6,50.0,Matches,47a34c4f
811,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,27,1994,23.4,3,1,0,18,22,2,5,29,14,0,1,0,123,54,23,70.1,Matches,f7dc2ae5
812,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,24,1996,27.0,3,1,0,21,21,0,0,34,24,0,0,0,158,72,38,65.5,Matches,48035304
813,Sepe Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,18,2003,19.8,2,0,0,18,26,21,11,4,10,2,0,0,46,13,60,17.8,Matches,0d7b6576
814,Mohamed Elyounoussi,no NOR,MFFW,Southampton,eng Premier League,26,1994,22.7,4,0,0,28,18,1,29,12,17,0,0,0,82,38,46,45.2,Matches,68dc0dac
815,Adri Embarba,es ESP,FWMF,Espanyol,es La Liga,29,1992,22.1,4,0,0,30,43,7,192,19,29,0,0,0,108,17,31,35.4,Matches,db8f0eba
816,Breel Embolo,ch SUI,FW,M'Gladbach,de Bundesliga,24,1997,24.1,3,0,0,41,71,20,2,6,11,2,0,0,57,35,64,35.4,Matches,0b4f388a
817,Emerson,br BRA,DFMF,Tottenham,eng Premier League,22,1999,25.4,5,0,0,28,45,2,74,22,47,0,0,0,152,33,42,44.0,Matches,df8b52a5
818,Emerson,br BRA,DF,Barcelona,es La Liga,22,1999,1.0,0,0,0,3,3,0,2,2,3,0,0,0,2,0,1,0.0,Matches,df8b52a5
819,Renaud Emond,be BEL,FWMF,Nantes,fr Ligue 1,29,1991,2.1,0,0,0,3,3,0,0,0,0,0,0,0,9,5,17,22.7,Matches,5c9ac7f0
820,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,24,1997,14.2,1,0,0,11,10,18,5,4,5,1,0,0,28,45,51,46.9,Matches,04e17fd5
821,Keita Endo,jp JPN,MF,Union Berlin,de Bundesliga,23,1997,0.6,0,0,0,0,2,1,3,0,1,0,0,0,4,0,2,0.0,Matches,1a83027b
822,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,28,1993,32.2,4,0,0,30,61,1,7,30,41,0,0,0,226,75,38,66.4,Matches,c149016b
823,Christian Eriksen,dk DEN,MF,Brentford,eng Premier League,29,1992,10.4,1,0,0,5,3,0,86,9,6,0,0,0,69,5,6,45.5,Matches,980522ec
824,Martin Erlic,hr CRO,DF,Spezia,it Serie A,23,1998,28.6,5,0,0,28,20,0,2,28,16,2,2,0,134,55,40,57.9,Matches,0fee6bda
825,Gonzalo Escalante,ar ARG,MF,Lazio,it Serie A,28,1993,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches,3f79a1c8
826,Gonzalo Escalante,ar ARG,MF,Alavés,es La Liga,28,1993,14.4,8,1,1,25,23,3,3,21,14,1,0,0,93,34,23,59.6,Matches,3f79a1c8
827,Aarón Escandell,es ESP,GK,Granada,es La Liga,25,1995,3.2,1,1,0,0,1,0,0,0,0,0,0,0,4,0,0,,Matches,67669ce7
828,Sergio Escudero,es ESP,DFMF,Granada,es La Liga,31,1989,15.9,6,0,0,14,20,5,30,26,24,0,1,0,90,33,36,47.8,Matches,b0616e3d
829,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,29,1992,37.0,6,0,0,50,43,6,150,54,63,0,1,0,278,46,54,46.0,Matches,db001fa9
830,Michael Esser,de GER,GK,Bochum,de Bundesliga,33,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0,Matches,83e0eeb4
831,Estanis,es ESP,FW,Barcelona,es La Liga,17,2003,0.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0.0,Matches,ace50e9f
832,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,19,2002,20.6,2,0,0,10,6,0,0,22,18,0,0,0,92,32,27,54.2,Matches,1a066e69
833,Pervis Estupiñán,ec ECU,DF,Villarreal,es La Liga,23,1998,17.5,3,0,0,24,11,11,73,25,22,0,1,0,126,23,19,54.8,Matches,d38fdf53
834,Oghenekaro Etebo,ng NGA,MF,Watford,eng Premier League,25,1995,4.5,3,0,0,8,3,0,2,5,8,0,0,0,31,3,1,75.0,Matches,b579e83d
835,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,33,1988,15.0,3,0,0,15,11,0,3,20,14,0,0,0,105,48,17,73.8,Matches,f8fcd2a5
836,Eberechi Eze,eng ENG,MFFW,Crystal Palace,eng Premier League,23,1998,6.7,1,0,0,5,12,0,27,5,6,0,0,0,38,7,13,35.0,Matches,ae4fc6a4
837,Abdessamad Ezzalzouli,ma MAR,FW,Barcelona,es La Liga,19,2001,6.4,4,0,0,17,15,2,15,9,9,0,0,0,29,3,7,30.0,Matches,bed68338
838,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,1985,37.0,2,0,0,1,7,0,0,0,0,0,1,0,21,11,0,100.0,Matches,9328b835
839,Fabinho,br BRA,MF,Liverpool,eng Premier League,27,1993,25.7,7,0,0,40,28,0,6,39,25,0,0,0,193,43,24,64.2,Matches,7f3b388c
840,Fábio,br BRA,DF,Nantes,fr Ligue 1,31,1990,18.5,8,1,0,30,19,1,35,35,40,0,2,0,107,30,30,50.0,Matches,bc7b4580
841,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,34,1987,0.4,0,0,0,1,2,0,5,1,0,0,0,0,4,0,0,,Matches,33508c78
842,Wout Faes,be BEL,DF,Reims,fr Ligue 1,23,1998,37.0,2,0,0,21,24,0,3,53,24,0,2,0,199,38,32,54.3,Matches,9c221d14
843,Wahidullah Faghir,dk DEN,FW,Stuttgart,de Bundesliga,18,2003,1.4,0,0,0,0,3,2,0,0,0,0,0,0,2,4,4,50.0,Matches,93c9e7d9
844,Romain Faivre,fr FRA,FWMF,Lyon,fr Ligue 1,23,1998,9.9,0,0,0,14,17,1,61,3,4,0,0,0,55,2,1,66.7,Matches,745ca0a3
845,Romain Faivre,fr FRA,MF,Brest,fr Ligue 1,23,1998,19.9,1,0,0,15,27,1,115,13,18,0,0,0,110,6,14,30.0,Matches,745ca0a3
846,Radamel Falcao,co COL,FW,Rayo Vallecano,es La Liga,35,1986,9.3,1,0,0,17,18,15,4,2,1,0,0,0,17,27,33,45.0,Matches,66116290
847,Diego Falcinelli,it ITA,FW,Bologna,it Serie A,30,1991,0.7,0,0,0,2,4,0,0,1,2,0,0,0,5,5,6,45.5,Matches,a39b9ef6
848,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,26,1995,9.5,2,0,0,0,1,0,0,1,0,0,0,0,8,3,0,100.0,Matches,9f5a610b
849,Fali,es ESP,DFMF,Cádiz,es La Liga,27,1993,20.0,6,0,0,19,11,0,11,24,19,0,0,0,110,31,26,54.4,Matches,72a84002
850,Paolo Faragò,it ITA,MF,Cagliari,it Serie A,28,1993,0.2,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,50.0,Matches,9085dd7c
851,Omar Faraj,se SWE,FW,Levante,es La Liga,19,2002,0.0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0.0,Matches,de627c8a
852,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,29,1991,28.6,8,1,1,27,34,5,82,23,40,0,1,0,193,45,50,47.4,Matches,aae9d04a
853,Mohamed Fares,dz ALG,DFFW,Genoa,it Serie A,25,1996,6.5,2,0,0,10,6,0,24,8,2,0,0,0,43,9,14,39.1,Matches,b7a5bc86
854,Diego Farias,br BRA,MFFW,Cagliari,it Serie A,31,1990,0.7,0,0,0,0,0,0,2,0,1,0,0,0,5,1,2,33.3,Matches,157d29b6
855,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,23,1998,12.3,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,100.0,Matches,2c127b6f
856,Ömer Faruk Beyaz,tr TUR,DFMF,Stuttgart,de Bundesliga,17,2003,0.8,0,0,0,0,0,0,2,2,3,0,0,0,5,0,1,0.0,Matches,8307b663
857,Noah Fatar,fr FRA,DFMF,Angers,fr Ligue 1,19,2002,0.1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,Matches,2693f6bc
858,Ansu Fati,es ESP,FW,Barcelona,es La Liga,18,2002,3.7,0,0,0,9,12,3,3,1,2,1,0,0,10,1,3,25.0,Matches,0ba976e4
859,Julien Faussurier,fr FRA,MFDF,Brest,fr Ligue 1,34,1987,5.4,1,0,0,5,7,5,38,5,6,0,0,0,36,5,5,50.0,Matches,767212e6
860,Andrea Favilli,it ITA,FW,Genoa,it Serie A,24,1997,0.4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,Matches,44510fde
861,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,34,1987,15.9,3,1,1,16,15,1,6,27,11,0,2,0,84,54,22,71.1,Matches,4e358a2d
862,Aleix Febas,es ESP,MF,Mallorca,es La Liga,25,1996,1.3,1,0,0,2,5,0,0,0,1,0,0,0,9,1,2,33.3,Matches,38126309
863,Adrian Fein,de GER,MF,Greuther Fürth,de Bundesliga,22,1999,0.4,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,,Matches,60097ff6
864,Nabil Fekir,fr FRA,MF,Betis,es La Liga,28,1993,31.0,7,1,0,65,92,9,173,7,29,0,0,0,106,26,48,35.1,Matches,bece776f
865,Felipe,br BRA,DF,Atlético Madrid,es La Liga,32,1989,16.7,5,1,0,21,14,2,0,28,15,0,0,0,100,45,29,60.8,Matches,51a3c4c8
866,Luiz Felipe,it ITA,DF,Lazio,it Serie A,24,1997,27.7,9,1,0,28,16,0,2,33,23,1,0,0,133,43,42,50.6,Matches,15d0c248
867,João Félix,pt POR,FWMF,Atlético Madrid,es La Liga,21,1999,14.0,3,1,1,15,57,9,18,7,2,0,0,0,31,19,18,51.4,Matches,8aafd64f
868,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,23,1997,8.7,1,0,0,6,7,0,4,9,6,0,0,0,42,23,12,65.7,Matches,677da306
869,Kiko Femenía,es ESP,DF,Watford,eng Premier League,30,1991,23.8,2,0,0,12,13,2,106,37,22,0,0,0,135,12,14,46.2,Matches,e5d01ecf
870,Evan Ferguson,ie IRL,MF,Brighton,eng Premier League,16,2004,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0.0,Matches,4596da74
871,Nathan Ferguson,eng ENG,DF,Crystal Palace,eng Premier League,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,2f8d27bc
872,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,26,1994,34.6,10,0,0,33,47,3,148,17,28,0,0,0,180,19,30,38.8,Matches,507c7bdf
873,Edimilson Fernandes,ch SUI,MFFW,Arminia,de Bundesliga,25,1996,3.1,0,0,0,3,1,0,14,2,0,0,0,0,23,5,3,62.5,Matches,3bb625ac
874,Aitor Fernández,es ESP,GK,Levante,es La Liga,30,1991,13.0,1,1,0,1,2,0,0,0,1,0,0,0,20,1,0,100.0,Matches,a01c3d54
875,Álex Fernández,es ESP,MF,Cádiz,es La Liga,28,1992,22.8,2,0,0,15,23,2,69,30,31,0,0,0,164,18,30,37.5,Matches,aa677a35
876,Álvaro Fernández,es ESP,GK,Brentford,eng Premier League,23,1998,12.0,0,0,0,0,3,0,0,0,0,0,0,1,18,2,2,50.0,Matches,f127d782
877,Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,32,1989,5.8,0,0,0,1,2,0,1,4,0,0,0,0,24,10,5,66.7,Matches,f25b010f
878,Fernandinho,br BRA,MFDF,Manchester City,eng Premier League,36,1985,10.7,1,0,0,14,10,0,2,8,10,0,0,0,85,22,15,59.5,Matches,101da2b5
879,Fernando,br BRA,MFDF,Sevilla,es La Liga,34,1987,20.6,6,0,0,16,11,1,1,29,17,0,0,0,131,35,45,43.8,Matches,41f32541
880,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,27,1994,18.3,4,0,0,29,24,0,7,39,22,0,1,0,109,23,21,52.3,Matches,d0dbca9f
881,Salvador Ferrer,es ESP,DFMF,Spezia,it Serie A,23,1998,16.6,3,0,0,13,10,0,44,18,18,0,0,0,82,34,23,59.6,Matches,eb76987d
882,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,29,1992,32.3,13,1,1,49,72,0,39,30,35,0,1,0,300,17,34,33.3,Matches,375622c5
883,Riccardo Fiamozzi,it ITA,DF,Empoli,it Serie A,28,1993,6.9,1,0,0,3,7,0,11,7,5,0,1,0,42,4,6,40.0,Matches,9f9b9269
884,Fidel,es ESP,MF,Elche,es La Liga,31,1989,25.1,9,0,0,26,29,7,118,7,23,0,1,0,141,6,21,22.2,Matches,eb82b6f1
885,Karol Fila,pl POL,DF,Strasbourg,fr Ligue 1,23,1998,6.2,3,0,0,8,9,0,24,4,8,0,0,0,32,7,7,50.0,Matches,50ac8941
886,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,32,1989,3.2,0,0,0,3,1,1,2,2,1,0,0,0,9,4,4,50.0,Matches,f9e7c4ac
887,Luca Fiordilino,it ITA,MF,Venezia,it Serie A,25,1996,7.3,2,0,0,5,10,2,9,11,13,0,0,0,50,9,3,75.0,Matches,9bb1ad91
888,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,31,1990,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches,a2565f79
889,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,29,1991,11.0,3,0,0,7,6,3,8,4,14,0,0,0,53,14,27,34.1,Matches,4c370d81
890,Junior Firpo,es ESP,DFMF,Leeds United,eng Premier League,24,1996,19.0,11,0,0,39,15,1,26,24,29,0,0,1,89,27,19,58.7,Matches,24f59bb2
891,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,1993,32.0,0,0,0,0,1,0,0,2,0,0,0,0,70,4,0,100.0,Matches,a92ab7be
892,Ashley Fletcher,eng ENG,FW,Watford,eng Premier League,25,1995,0.3,0,0,0,1,0,0,1,0,1,0,0,0,2,1,7,12.5,Matches,eeb6551f
893,Alexis Flips,fr FRA,MFDF,Reims,fr Ligue 1,21,2000,11.7,2,0,0,18,12,1,88,24,21,0,0,0,88,8,20,28.6,Matches,caef7840
894,Alessandro Florenzi,it ITA,DFFW,Milan,it Serie A,30,1991,12.8,2,0,0,10,8,3,56,27,14,0,0,0,79,9,9,50.0,Matches,e288d4b3
895,Phil Foden,eng ENG,FW,Manchester City,eng Premier League,21,2000,23.6,1,0,0,15,23,14,132,11,8,0,0,0,83,5,27,15.6,Matches,ed1e53f3
896,Mamadou Fofana,ml MLI,DF,Metz,fr Ligue 1,23,1998,0.4,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0.0,Matches,4c4ffacc
897,Seko Fofana,ci CIV,MF,Lens,fr Ligue 1,26,1995,37.3,2,0,0,27,45,5,41,26,19,0,0,0,210,15,13,53.6,Matches,5313ed43
898,Wesley Fofana,fr FRA,DF,Leicester City,eng Premier League,20,2000,7.0,2,0,0,7,7,0,0,12,8,0,0,0,43,20,10,66.7,Matches,132a82f1
899,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,22,1999,24.3,4,0,0,33,25,0,6,32,43,0,1,0,175,14,10,58.3,Matches,822d51d7
900,Thomas Foket,be BEL,DFFW,Reims,fr Ligue 1,26,1994,24.8,5,0,0,26,27,5,64,33,19,1,0,0,135,15,19,44.1,Matches,90eb507d
901,Thomas Fontaine,mg MAD,DF,Lorient,fr Ligue 1,30,1991,1.9,1,0,0,4,1,0,0,2,0,0,0,0,8,2,4,33.3,Matches,9f90c06b
902,José Fontán,es ESP,DF,Celta Vigo,es La Liga,21,2000,3.1,3,0,0,10,0,0,5,10,3,0,1,0,17,4,2,66.7,Matches,1827a42d
903,José Fonte,pt POR,DF,Lille,fr Ligue 1,37,1983,38.0,4,0,0,23,8,1,6,44,12,0,0,0,205,87,42,67.4,Matches,90f87966
904,Fernando Forestieri,it ITA,FWMF,Udinese,it Serie A,31,1990,0.6,1,0,0,3,4,0,4,0,0,0,0,0,0,0,2,0.0,Matches,d60c26fc
905,Pablo Fornals,es ESP,FWMF,West Ham,eng Premier League,25,1996,31.1,4,0,0,24,28,6,87,27,28,1,0,0,182,23,30,43.4,Matches,82927de4
906,Emil Forsberg,se SWE,MF,RB Leipzig,de Bundesliga,29,1991,19.0,2,0,0,11,22,4,38,2,12,0,0,0,58,9,18,33.3,Matches,9a2e0ccc
907,Adam Forshaw,eng ENG,MF,Leeds United,eng Premier League,29,1991,17.0,5,0,0,26,15,2,5,19,23,0,0,0,119,11,11,50.0,Matches,9f1938ab
908,Marcus Forss,fi FIN,FWMF,Brentford,eng Premier League,22,1999,2.3,0,0,0,3,1,0,1,1,3,0,0,0,4,2,7,22.2,Matches,82c215a0
909,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,33,1988,19.0,1,0,0,0,3,0,0,0,0,0,0,0,7,7,0,100.0,Matches,c3e39f12
910,Philipp Förster,de GER,MFFW,Stuttgart,de Bundesliga,26,1995,10.7,4,0,0,15,9,2,8,3,13,0,0,0,58,10,11,47.6,Matches,76fa965f
911,Francesco Forte,it ITA,FW,Venezia,it Serie A,28,1993,4.7,3,0,0,11,7,2,2,0,2,0,0,0,14,18,16,52.9,Matches,69e11a01
912,Steven Fortes,cv CPV,DF,Lens,fr Ligue 1,29,1992,1.0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0,100.0,Matches,574aa9ec
913,Ben Foster,eng ENG,GK,Watford,eng Premier League,38,1983,26.0,0,0,0,1,4,0,0,0,0,0,1,0,54,5,3,62.5,Matches,d0b3ceb9
914,Tariqe Fosu,gh GHA,DF,Brentford,eng Premier League,25,1995,0.2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,Matches,3dcef539
915,Timothy Fosu-Mensah,nl NED,DF,Leverkusen,de Bundesliga,23,1998,1.6,0,0,0,1,0,0,4,2,3,0,0,0,14,2,3,40.0,Matches,a9142dc3
916,Dimitri Foulquier,fr FRA,DF,Granada,es La Liga,28,1993,2.0,0,0,0,1,3,0,7,1,0,0,0,0,4,1,3,25.0,Matches,45e17712
917,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,28,1993,26.0,11,0,0,39,40,1,60,29,17,1,1,0,164,20,22,47.6,Matches,45e17712
918,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,23,1998,21.4,6,1,1,39,22,0,7,20,49,0,1,0,125,36,24,60.0,Matches,6c7762c3
919,Gianluca Frabotta,it ITA,DFMF,Hellas Verona,it Serie A,22,1999,0.2,0,0,0,2,0,0,3,1,0,0,0,0,2,1,2,33.3,Matches,d80b1835
920,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,25,1995,9.4,3,0,0,17,8,0,36,9,19,0,1,0,44,9,12,42.9,Matches,626fab5f
921,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,26,1995,27.2,5,0,0,36,9,2,71,28,39,0,1,0,130,12,11,52.2,Matches,00a8d210
922,Enric Franquesa,es ESP,DFFW,Levante,es La Liga,24,1997,6.9,1,0,0,7,7,1,10,7,3,0,0,0,28,8,7,53.3,Matches,40883e3a
923,Fransérgio,br BRA,MF,Bordeaux,fr Ligue 1,30,1990,14.0,7,0,0,26,12,0,6,23,10,0,1,0,78,27,32,45.8,Matches,deba6b05
924,Ryan Fraser,sct SCO,FWMF,Newcastle Utd,eng Premier League,27,1994,16.3,3,0,0,10,24,2,88,11,3,0,0,0,61,5,22,18.5,Matches,d56543a0
925,Davide Frattesi,it ITA,MF,Sassuolo,it Serie A,21,1999,31.7,6,0,0,46,57,0,14,29,16,2,1,1,143,26,40,39.4,Matches,2a7d27c1
926,Fred,br BRA,MF,Manchester Utd,eng Premier League,28,1993,22.5,5,0,0,31,30,0,3,32,27,1,0,1,197,15,13,53.6,Matches,b853e0ad
927,Ryan Fredericks,eng ENG,DF,West Ham,eng Premier League,28,1992,3.4,1,0,0,3,1,0,9,4,2,0,0,0,11,3,2,60.0,Matches,c067631c
928,Morten Frendrup,dk DEN,DFMF,Genoa,it Serie A,20,2001,7.7,1,0,0,10,4,0,8,17,24,0,0,0,70,12,10,54.5,Matches,f4d60499
929,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,29,1992,26.3,10,0,0,43,28,0,25,35,39,0,1,1,186,20,24,45.5,Matches,98d2c2c4
930,Marvin Friedrich,de GER,DF,M'Gladbach,de Bundesliga,25,1995,6.7,1,0,0,4,2,1,0,5,8,0,1,0,38,19,8,70.4,Matches,b77f44a4
931,Marvin Friedrich,de GER,DF,Union Berlin,de Bundesliga,25,1995,13.0,4,1,1,12,2,0,5,23,5,0,0,1,79,39,32,54.9,Matches,b77f44a4
932,Jeremie Frimpong,nl NED,DF,Leverkusen,de Bundesliga,20,2000,22.8,6,0,0,17,45,1,58,17,18,0,1,1,120,19,18,51.4,Matches,74f2e748
933,Christian Früchtl,de GER,GK,Bayern Munich,de Bundesliga,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,1940be91
934,Jorge de Frutos,es ESP,MFFW,Levante,es La Liga,24,1997,19.6,4,0,0,39,21,13,69,12,15,0,2,0,96,7,16,30.4,Matches,38ce1150
935,Leo Fuhr Hjelde,no NOR,MFDF,Leeds United,eng Premier League,17,2003,1.7,0,0,0,1,0,0,3,4,4,0,0,0,9,3,2,60.0,Matches,d102b8a2
936,Chris Führich,de GER,FWMF,Stuttgart,de Bundesliga,23,1998,19.0,3,0,0,9,19,2,61,8,16,0,0,0,107,3,12,20.0,Matches,0cf778df
937,Angelo Fulgini,fr FRA,MFFW,Angers,fr Ligue 1,24,1996,32.5,6,0,0,36,84,5,69,22,25,0,0,0,137,33,41,44.6,Matches,4b96c347
938,Marius Funk,de GER,GK,Greuther Fürth,de Bundesliga,25,1996,8.0,0,0,0,1,1,0,0,0,0,0,1,0,19,3,0,100.0,Matches,86314793
939,Stephan Fürstner,de GER,MF,Mainz 05,de Bundesliga,33,1987,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,18c2e247
940,Matteo Gabbia,it ITA,DF,Milan,it Serie A,21,1999,6.0,3,0,0,7,2,0,0,8,3,0,0,0,25,13,8,61.9,Matches,c235e803
941,Manolo Gabbiadini,it ITA,FWMF,Sampdoria,it Serie A,29,1991,12.7,3,0,0,12,16,6,24,3,4,0,0,0,37,16,32,33.3,Matches,8f866fe8
942,Mijat Gaćinović,rs SRB,FWMF,Hoffenheim,de Bundesliga,26,1995,1.2,1,0,0,4,1,0,0,1,3,0,0,0,3,3,3,50.0,Matches,16daec92
943,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,21,2000,0.2,0,0,0,1,1,0,0,2,1,0,0,0,3,2,2,50.0,Matches,3b387cc7
944,Luca Gagliano,it ITA,FWDF,Cagliari,it Serie A,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.0,Matches,1d00a56c
945,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,27,1994,7.2,2,0,0,24,16,0,5,9,6,0,0,0,40,14,14,50.0,Matches,ce30bfc8
946,Riccardo Gagliolo,se SWE,DF,Salernitana,it Serie A,31,1990,12.6,2,0,0,8,12,0,15,28,12,0,0,0,68,14,11,56.0,Matches,173061c0
947,Javi Galán,es ESP,DF,Celta Vigo,es La Liga,26,1994,36.6,8,0,0,54,75,11,173,45,66,0,0,0,234,25,48,34.2,Matches,a4b00319
948,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,es La Liga,27,1993,15.3,4,0,0,25,33,0,14,20,21,0,0,0,109,18,12,60.0,Matches,91f7631f
949,Nicolas Galazzi,it ITA,MF,Venezia,it Serie A,20,2000,0.2,0,0,0,2,0,0,3,0,1,0,0,0,0,0,1,0.0,Matches,a796492f
950,Pablo Galdames Millán,cl CHI,MF,Genoa,it Serie A,24,1996,11.4,2,0,0,20,11,3,31,8,12,0,0,0,78,6,15,28.6,Matches,dd403465
